ENSG	ncbi_geneid	gene	ON_score	PD_log2fc1 (PMID:37347276)	PD_log2fc2 (PMID: 27611585)	PD_log2fc3 (PMID: 33390883)	TWAS	availability_association	Evidence	PD_score	gene2pubmed_score	PMIDs_PD	PMIDs_NCBI
ENSG00000277586	4747	NEFL	-26	NotFound	NotFound	-1.3776	NotFound	yes	"OpenTargets,PubChem"	155	280	"36975162, 32595447, 33674752, 34099648, 32798333, 31070772, 31420461, 35350553, 34992970, 35178615, 32975318, 27896490, 37023526, 35086487, 33964785, 37437874, 36754139, 35088243, 36780781, 34311152, 35072765, 30478269, 32680941, 33639572, 37699957, 34568970, 36776136, 33019386, 35287127, 16678934, 36371469, 24691581, 35752549, 35484471, 32477099, 32334380, 30814322, 36997567, 32756166, PMC10418538, 34480363, 37603107, 34352610, 36589544, 35492244, 35903017, 32772223, 28179466, 36922526, 36688160, 36674698, 36773046, 35992605, 34602928, 23782433, 35775215, 30036569, 33991233, 37605014, 32503574, 32530970, 24242746, 35585907, PPR91933, 33204362, 33881777, 37762074, 36057833, 36117629, 35415973, 23718879, 30508027, 35697501, 34442345, 30981640, 31145128, 33146954, 30171200, 32162061, 37259091, 35940118, 31744001, 19647470, 33893614, 34168606, 19948073, 30626432, 31595378, 35566558, 31123141, 34439687, 31123861, 34654436, 35256615, 35657417, 37220625, 31860007, 34207058, 18573219, 36326357, 32995466, 35415210, 37215673, 37551375, 35297008, 34635674, 35222201, 24860645, 34706976, 35173667, 21039366, 35918749, 36819745, 27389402, 23812308, 37067597, 34439351, 35976324, 35692046, 33935105, 33521072, 32932824, 30009206, 35197833, 36143216, 12231460, 29352259, 26959078, 31189032, 30465235, 35604467, 34285331, 25411441, 33198266, 26626621, 18404452, 33006791, 33078859, 16026462, 29207913, 33402694, 31833026, 31737952, 34848724, 26258692, 22925882, 28604235, 26878815, 31167811, 17542619, 35234288, 35204829, 29370869, 35040506, 17115941"	"1497855, 1902666, 2516804, 3034332, 3036423, 3121319, 3145240, 6135695, 8125298, 8180132, 8344946, 8530496, 8615909, 8621664, 8665664, 8863508, 9388258, 9425014, 9481670, 9763415, 10373510, 10841809, 11220745, 12133495, 12226091, 12231460, 12403814, 12432080, 12477167, 12477932, 12481988, 12566280, 12730211, 12815021, 12837694, 12911634, 14622581, 14662745, 14733962, 15111691, 15122254, 15241803, 15324660, 15383276, 15489334, 15654615, 15686490, 15857389, 16049941, 16084104, 16169070, 16344560, 16452125, 16678934, 16930284, 17052987, 17290105, 17475803, 17620486, 17683050, 17903209, 17923616, 18023247, 18758688, 19034380, 19110265, 19123978, 19158810, 19286384, 19488899, 19678766, 19950375, 20039262, 20086018, 20201926, 20213320, 20301366, 20301384, 20301462, 20301532, 20381070, 21039366, 21044950, 21197541, 21653829, 21860087, 21873635, 21983493, 22246235, 22288874, 22302611, 22319610, 22458338, 22586326, 22680408, 22765307, 23287695, 23455924, 23705811, 23802559, 23827424, 23870535, 23992471, 24026393, 24073237, 24242746, 24244333, 24454911, 24515731, 24523921, 24554482, 24711643, 24722188, 24733614, 24887401, 25241761, 25264603, 25312269, 25339208, 25416956, 25583183, 25605243, 25724651, 25877835, 25934855, 25959826, 26016807, 26186194, 26209061, 26460568, 26524180, 26645395, 26801564, 26870824, 26871637, 27107012, 27173435, 27503460, 27521440, 27581216, 27609421, 27634302, 27732645, 27819296, 27862672, 27880917, 28148632, 28404801, 28428015, 28500227, 28514442, 28527630, 28611094, 28631955, 29070659, 29108879, 29321234, 29747637, 29791485, 29937097, 30004022, 30036759, 30209243, 30217938, 30626432, 30664784, 30745168, 30761586, 30776989, 30786919, 30951523, 31123861, 31129709, 31151840, 31182505, 31199010, 31295725, 31383792, 31391242, 31420461, 31514172, 31516913, 31586073, 31640103, 31701893, 31802104, 31871319, 31898161, 31944090, 32096416, 32203420, 32296183, 32310173, 32376155, 32587320, 32592719, 32707033, 32758395, 32814053, 32862040, 32877691, 32883119, 32979786, 33001583, 33158499, 33199433, 33204362, 33216030, 33221749, 33239751, 33313663, 33377539, 33427873, 33436881, 33594224, 33609080, 33626531, 33636389, 33759425, 33827960, 33931805, 33961781, 33963718, 34079125, 34099648, 34120902, 34151807, 34278578, 34311152, 34398223, 34433481, 34728620, 34843548, 34944022, 35031058, 35087088, 35088243, 35094171, 35271311, 35437240, 35446349, 35871350, 35914814, 36094631, 36168627, 36200879, 36221099, 36289175, 36323711, 36326357, 36326394, 36443917, 36472640, 36508390, 36517590, 36543540, 36602623, 36621163, 36689008, 36776136, 36780781, 36809754, 36959506, 36964488, 37003244, 37023526, 37060852, 37130728, 37335505, 37392405, 37393503, 37491327, 37519166, 37739331, 37778613, 37797300, 37875471, 37923059, 38007650, 38017278"
ENSG00000165646	6571	SLC18A2	25	NotFound	-2.333787628	-3.7445	NotFound	yes	"OpenTargets,DisGeNET,PubChem"	319	106	"ppr393667, 33298952, 34024786, 9011752, 28627368, 31091502, 22359591, 26333488, 10192785, 8584980, 16762065, 28477711, 27764160, 7790953, 17988241, 32410942, 34758845, 21699982, 25220836, 31872354, 30954223, 20413575, 22634505, 19037640, 21403896, 36810115, 20447560, 24098749, 27924069, 37740715, 15475732, 17652604, 18568086, 27287315, 34986152, PPR547378, 37569897, 28292328, 34813272, 20641809, 11519142, 24979780, 20641662, 22407500, 33983693, 18028884, 20641794, 16594636, 19322517, 32864581, 16699769, 21318776, 30028869, 11099463, 18329002, 32120243, 23630592, 10498956, 30697146, 16112329, 18515015, 8957680, 30375444, 21747030, 16934687, 28396635, 32329312, PPR720222, 16386370, 22749185, 27137201, 36928847, 36161926, 37373089, 35295604, 27612194, 29348323, 24706374, 17233532, 34316656, 25759301, 28963508, 20080893, 32318655, 37732203, 33970902, 16421508, 33971246, 28246328, 31330409, 24287322, 27512998, 32151010, 27836486, 31732566, 15850588, 23786406, 29337277, 16269145, 20665056, 31205154, 12145295, 19615345, 25496994, 19553450, 12428733, 23365218, 28257461, 17101029, 24025942, 17100850, 22483304, 14622207, 19780901, 33038358, 30155515, 16243425, 23732230, 28637871, 34736896, 21784415, 19748892, 15684695, 20106970, 20553223, 20224926, 18374908, 24218591, 22554508, 25447236, 26203861, 23500093, 21586296, 26123485, 18388307, 25904808, 18992277, 19021208, 16339215, 21291984, 18599602, 34774656, 28743955, 19032594, 17985233, 18622040, 20135628, 31982500, 22749492, 18164283, 16051392, 25000966, 20939082, 24157858, 31325476, 32640966, 15790541, 15901804, 16250852, 18372079, 25025041, 20944554, 21790809, 17493052, 15464128, 15452855, 25764516, 15507217, 26695835, 16473350, 24844147, 19698780, 23287494, 15740846, 26073293, 33090574, 16280597, 10191339, 25681534, 10029235, 26006269, 25943481, 32861175, 11181904, 27519465, 10499361, 16023584, 27064513, 27147976, 34555366, 34208778, 22040670, 22723923, 22698664, 29165839, 29207913, 18695057, 26408528, 11050221, 33378168, 30009467, 12890883, 18385323, 17803225, 30468634, 17433807, 26959819, 15191803, 23747572, 16644019, 17656644, 30847375, 12542662, 14697877, 26961748, 19183257, 19196042, 29428213, 9585350, 15638712, 16603316, 35753016, 21819568, 17693585, 14597329, 14612158, 33220427, 16741673, 16749908, 33723752, 27771535, 16978060, 28982631, 17886297, 18267275, 18522241, 18533268, 19327351, 19459224, 25124053, 32728898, 32666590, 32060784, 26227546, 26276080, 26282055, 21524431, 22933741, 12604695, 18577399, 18579341, 18591219, 18598263, 24061965, 18662707, 24657313, 24920625, 25218963, 24875175, 25575680, 20643196, 20697890, 10958525, 33940943, 26439947, 33622073, 16809432, 28336296, 28407359, 22885234, 22887838, 12921866, 19079535, 15384065, 26765842, 28830769, 30673988, 19670315, 8797470, 31613384, 22261520, 31234240, 24848581, 31053531, 19917989, 9007092, 15067721, 24503330, 19616502, 21318775, 34082681, 28490469, 35220110, 28451991, 28456940, 29378243, 29407218, 23657982, 23688541, 29460114, 30223096, 18991873, 8750721, 34842303, 29680151, 24463035, 17503735, 29983692, 22677034, 17245418, 17680883, 21677777, 20152712, 28192111, 23209667, 30006683, 31130327, 15178358, 19587858"	"7823026, 7905859, 8095030, 8245983, 8373557, 8643547, 8860238, 9045708, 11279528, 11431013, 11443533, 11997877, 12009896, 12112084, 12477932, 12710012, 12827358, 12871984, 15135235, 15164054, 15217342, 15475732, 15489334, 15829504, 15850588, 15988470, 16139173, 16189177, 16339215, 16344560, 16386370, 16408221, 17233532, 17344033, 17427184, 17442673, 17652604, 17665159, 17766642, 17985233, 18045777, 18288090, 18316816, 18599602, 18791800, 18797399, 19156168, 19228741, 19289536, 19328558, 19357284, 19460752, 19693267, 19874574, 20080893, 20181938, 20379614, 20468064, 20544232, 20665056, 20677014, 21041608, 21083670, 21484276, 21522164, 21563316, 21814181, 21851191, 21873635, 22483869, 22532702, 22554508, 23034651, 23185343, 23221614, 23363473, 23369548, 23404442, 23410751, 23504072, 23504951, 23530208, 23573890, 23932573, 24018103, 24252804, 24321511, 26338179, 26447226, 26497564, 26828714, 26905753, 27137201, 27354380, 28477711, 29997244, 30471418, 30983500, 31317476, 32296183, 33961781, 34758845, 34774656, 35524772, 36318270, 38163846"
ENSG00000225151		GOLGA2P7	25	-0.310929424	NotFound	NotFound	NotFound	yes	OpenTargets	1	0	33417599	
ENSG00000233760		LINC03095	-29	NotFound	-1.242687728	NotFound	NotFound	no	-	0	0	-	
ENSG00000103932	26015	RPAP1	24	NotFound	NotFound	NotFound	twas	no	-	0	53	-	"10718198, 12477932, 14702039, 15282305, 15302935, 15345747, 16344560, 17374514, 17643375, 20379614, 21044950, 21873635, 22939629, 24711643, 24981860, 25416956, 25921289, 26186194, 26344197, 26496610, 26673895, 26972000, 28514442, 28675297, 28700943, 29229926, 29568061, 29661922, 29676528, 29955894, 31073040, 31091453, 31615875, 32707033, 32838362, 32877691, 32985767, 33957083, 33961781, 34079125, 34373451, 34672947, 34687317, 35271311, 35439318, 35563538, 35748872, 36114006, 36215168, 36217030, 36538041, 37689310, 37866880"
ENSG00000056736	55540	IL17RB	-20	NotFound	NotFound	0.5091	NotFound	no	-	0	64	-	"10748240, 10749887, 10815801, 11058597, 12477932, 12975309, 14759258, 15340161, 15489334, 16344560, 16609001, 16609019, 17008703, 17453342, 17975144, 18794098, 19118269, 19913121, 20237496, 20453000, 20545698, 20628086, 20800603, 21252617, 21473777, 21570719, 21873635, 21988832, 22070932, 23497539, 23851503, 24120361, 24144296, 24247484, 25732306, 26285835, 26728744, 26990986, 27000993, 27113764, 27146881, 27906959, 27979026, 28132739, 28160754, 28421819, 28514442, 28715683, 29496538, 29729704, 30649446, 30945288, 31182574, 31585811, 32948804, 33455090, 33649532, 33658352, 33961781, 34065512, 34251884, 34264790, 35271311, 35487060"
ENSG00000179954	284297	SSC5D	34	NotFound	1.623292742	NotFound	NotFound	no	-	0	10	-	"12477932, 14702039, 16344560, 19535143, 21873635, 25416956, 28514442, 32296183, 32393512, 33961781"
ENSG00000147854	115426	UHRF2	25	0.287556585	0.575140665	NotFound	NotFound	no	-	0	71	-	"12176013, 12477932, 14702039, 14741369, 15164053, 15178429, 15231748, 15361834, 15489334, 18029348, 19218238, 19490893, 19505873, 19549727, 19690564, 19818775, 20379614, 21598301, 21873635, 21952639, 22018986, 22064703, 22072112, 22411829, 22467880, 22493164, 22673569, 22699663, 22939629, 23105109, 23244124, 23275563, 23404503, 23537643, 23833190, 24573556, 24813944, 27114453, 27129234, 27738314, 27743347, 28004105, 28115522, 28536267, 28951215, 29506131, 29691401, 29909415, 29923055, 30335751, 30392931, 31067491, 31586073, 31694235, 32296183, 32372448, 32416067, 32867128, 33658012, 33848395, 33876395, 33961781, 34111398, 34162562, 34400880, 34766381, 34826027, 35563538, 36089195, 36215168, 36526897"
ENSG00000286558			28	1.186180663	NotFound	NotFound	NotFound	no	-	0	0	-	
ENSG00000107731	219699	UNC5B	21	NotFound	0.380181087	NotFound	NotFound	yes	OpenTargets	1	76	37039476	"12107411, 12359238, 12477932, 12598906, 12655055, 12975309, 14702039, 15342556, 15729359, 16344560, 16385451, 18469807, 18719102, 18839057, 19273616, 19570425, 19822088, 19826074, 20092749, 20379614, 20693423, 21172653, 21238923, 21673655, 21873635, 21922135, 22252496, 22951725, 23055195, 23312517, 23443559, 23526078, 23599441, 23666553, 24122613, 24528886, 24584118, 25921289, 26190107, 26235030, 26638075, 27477018, 27846823, 27910960, 28514442, 29158083, 29568061, 29893424, 30194290, 30639242, 30805847, 31056421, 31769036, 31871319, 31884526, 31914695, 32062451, 32196578, 32231305, 32372016, 32404521, 32762046, 33345442, 33706585, 33957083, 33961781, 34079125, 34239689, 34369648, 34381052, 34470826, 34597346, 34709727, 35384245, 35974411, 38156865"
ENSG00000242808	347689	SOX2-OT	-25	0.686394989	-1.289089113	NotFound	NotFound	yes	"OpenTargets,RNAdisease"	3	60	"34198485, 27021022, 34607512"	"12477932, 12612584, 14702039, 16344560, 19767420, 24105929, 24514567, 24927902, 25006803, 25056061, 26097588, 26136768, 26433762, 26703382, 26846097, 27193103, 27353770, 27800139, 27874951, 27904704, 28240100, 28489861, 28704421, 28867247, 28960757, 29132362, 29246536, 29643475, 29782828, 29787741, 30198866, 30320339, 30556855, 30811870, 31099048, 31301307, 31827385, 31837005, 32019566, 32286144, 32302291, 32407168, 32407264, 32439916, 32528555, 32716352, 33433063, 34215717, 34244990, 34470582, 34607512, 34690112, 34997317, 35147200, 35413439, 36576135, 36924985, 37017197, 37715386, 37904476"
ENSG00000196436	124907807	NPIPB15	35	NotFound	1.29234343	NotFound	NotFound	no	-	0	0	-	
ENSG00000290926	441242	LINC03006	28	NotFound	-2.111418325	NotFound	NotFound	no	-	0	3	-	"12477932, 14702039, 16344560"
ENSG00000019582	972	CD74	22	NotFound	0.468944164	NotFound	NotFound	yes	OpenTargets	2	209	"36926730, 36153630"	"1448172, 2121367, 2391366, 2507633, 3001652, 3036998, 3132422, 3459184, 3866610, 6324166, 6576808, 6586420, 6955026, 6982931, 7477400, 7519244, 8316295, 8343954, 8397411, 8574855, 9752000, 9843486, 10022822, 10748235, 10981873, 11593029, 11754812, 11897800, 11927549, 12058053, 12477932, 12782713, 12970439, 15194762, 15475450, 15489334, 15688398, 15845476, 15972644, 16107560, 16242130, 16365153, 16428763, 16439540, 16454711, 16542748, 16618111, 16678175, 17045821, 17142775, 17192395, 17357109, 17435771, 17567581, 17959659, 18178838, 18438604, 18524831, 18596106, 18684948, 18719072, 18828016, 18842989, 18941249, 19131591, 19327048, 19423618, 19592662, 19665027, 19845895, 19849849, 19913121, 19946888, 20012522, 20198449, 20357260, 20443131, 20458337, 20463068, 20628086, 20646540, 20820776, 20864512, 21068258, 21228923, 21417823, 21423200, 21543057, 21748758, 21792010, 21832049, 21873635, 21922073, 21945129, 21988832, 22039051, 22042694, 22069105, 22178447, 22216005, 22611320, 22659450, 22689013, 22761382, 22889831, 22905972, 22935920, 22942358, 22952837, 23000905, 23241634, 23273913, 23289738, 23572149, 23730214, 24035804, 24205828, 24220096, 24428437, 24469108, 24495362, 24569872, 24594996, 24638068, 24663824, 24683185, 24731748, 24904546, 24939415, 24942581, 25035924, 25172501, 25175718, 25241761, 25260751, 25304249, 25600560, 25983110, 25998395, 26039541, 26186194, 26198699, 26412712, 26500140, 26783288, 26851955, 26866879, 27033518, 27058619, 27157615, 27199465, 27209369, 27573366, 27599658, 27626171, 27872288, 27884769, 28298427, 28477143, 28513076, 28514442, 28642294, 28923927, 29190904, 29331040, 29477381, 29487601, 29592775, 29601965, 29669180, 29773671, 30366984, 30371153, 30506423, 30587340, 30833792, 31069878, 31105032, 31343991, 31692299, 32004754, 32296183, 32521377, 32521887, 32646312, 32744317, 32791092, 32855215, 33235138, 33346414, 33660365, 33766751, 33961781, 34015010, 34209696, 34391782, 35121729, 35145037, 35914814, 36096455, 36298774, 36736545, 36925198, 36966971, 37081824, 37629174, 37796743, 37946732, 38280003"
ENSG00000176571	168975	CNBD1	-42	NotFound	1.262351076	NotFound	NotFound	no	-	0	6	-	"12477932, 14702039, 18825932, 20379614, 23568457, 30021884"
ENSG00000170345	2353	FOS	30	NotFound	-1.653648095	NotFound	NotFound	yes	"OpenTargets,PubChem"	140	520	"18792992, 21507338, 1357113, 8741770, 17884026, 16725125, 9795171, 18663473, 8842399, 32962418, 37100804, 24831826, 24971060, 17848208, 20123725, 10397398, 8527000, 25747602, 10428061, 16959469, 15878807, 24184327, 20511551, 27044752, 23867769, 19720621, 12538862, 15790531, 24012539, 30550933, 19467297, 26841904, 23719850, 17596448, 26875664, 17560944, 20447448, 9863560, 9063681, 33198169, 27343381, 27460631, 32004718, 31965550, 20478040, 33422541, 19778565, 12827644, 31805115, 31704349, 15353366, 25765352, 10864974, 26921469, 28204864, 14657156, 24194105, 24600352, 35127957, 15770161, 10195331, 10101607, 25637312, 21129389, 21130806, 32789565, 21179447, 10452214, 16026317, 21855627, 21947442, 12429227, 12475019, 17980863, 23558088, 18693129, 26394842, 26363150, 26370834, 22241629, 12213641, 22127600, 12890883, 30485908, 28223037, 17433807, 19796495, 34648902, 30825442, 30772369, 30486773, 24755486, 24852388, 19393238, 15039453, 8854892, 33675933, 16706847, 12020684, 18313647, 1365438, 25125332, 10666314, 11520127, 11606639, 32224159, 7649226, 9751194, 10408602, 10928290, 11011010, 11029538, 10996596, 21641003, 31317262, 30612333, 7914358, 18417125, 27566062, 35241633, 12419516, 23698769, 15039773, 8752587, 9843726, 31004306, 9473580, 8714707, 8951871, 8937722, 19962414, 31381935, 9465005, 20721355, 22185664, 15545003, 23131151, 29998409, 15181236, 27651263"	"1406655, 1545828, 1589769, 1631061, 1658710, 1827203, 1828107, 1903538, 2414012, 2511004, 2516827, 3027573, 3555978, 3817017, 6574479, 7540136, 7623830, 7642615, 7665092, 7685215, 7713192, 7816143, 7816602, 7957556, 7962462, 7994752, 8065335, 8108109, 8151786, 8248197, 8380166, 8397339, 8440710, 8475068, 8480425, 8524278, 8557686, 8570175, 8617242, 8621941, 8628277, 8710853, 8737385, 8763994, 8816797, 8816798, 8904195, 8971979, 9057648, 9121455, 9129988, 9130707, 9160889, 9207128, 9334186, 9346889, 9443941, 9468519, 9488446, 9510247, 9545246, 9642216, 9671405, 9681824, 9685505, 9732876, 9792677, 9872330, 9888853, 9918847, 10027715, 10330159, 10388555, 10487758, 10488148, 10497212, 10508860, 10523647, 10567390, 10567391, 10581001, 10704222, 10764760, 10777532, 10799874, 10847592, 10918580, 11053448, 11090181, 11134330, 11260070, 11274169, 11278640, 11287611, 11397794, 11397816, 11431474, 11641401, 11782371, 11846562, 11891317, 11909859, 11983170, 12052862, 12082260, 12127989, 12147741, 12183893, 12193410, 12370307, 12419805, 12445807, 12446585, 12477932, 12508121, 12547826, 12592382, 12600988, 12687275, 12692226, 12705898, 12788789, 12949493, 12972619, 14511403, 14517309, 14522952, 14629301, 14702039, 14727154, 14741347, 14966901, 15175153, 15188457, 15258149, 15262961, 15276183, 15319445, 15489334, 15507668, 15530430, 15548518, 15588513, 15610731, 15654976, 15708845, 15718494, 15767669, 15835820, 15844599, 15867431, 15921770, 15926923, 15950906, 16001969, 16008525, 16023595, 16038047, 16049073, 16055710, 16123044, 16219292, 16236267, 16243842, 16452503, 16511568, 16552729, 16637060, 16690925, 16714286, 16828227, 16928824, 17018293, 17080554, 17160021, 17182779, 17203973, 17209045, 17217916, 17226766, 17235455, 17317669, 17440114, 17495958, 17549045, 17606925, 17636030, 17639289, 17681951, 17703412, 17709345, 17888430, 17915561, 17926144, 18029348, 18032824, 18042260, 18056707, 18097055, 18158562, 18172215, 18206243, 18252863, 18283312, 18305042, 18309110, 18316037, 18368600, 18405916, 18422165, 18425349, 18467434, 18500346, 18511550, 18597608, 18599327, 18619508, 18621151, 18641127, 18644870, 18653705, 18676680, 18725194, 18802113, 18826606, 18838675, 18848838, 18854825, 18923650, 18957410, 18986987, 19009649, 19013323, 19015316, 19022561, 19028685, 19064921, 19105933, 19135542, 19151755, 19170196, 19199093, 19215067, 19258923, 19269029, 19274049, 19299513, 19329434, 19384981, 19453261, 19495976, 19513521, 19557575, 19581295, 19625176, 19692168, 19714312, 19795350, 19859790, 19874574, 19913121, 19921846, 19937979, 19959471, 20012528, 20042607, 20089855, 20102225, 20195357, 20203690, 20209053, 20211142, 20398657, 20410304, 20459032, 20463008, 20468064, 20493519, 20498278, 20503287, 20511396, 20531301, 20619839, 20628086, 20628624, 20682178, 20726226, 20869948, 20936779, 20976196, 21034562, 21106746, 21163924, 21199371, 21303932, 21340718, 21385848, 21423810, 21496113, 21496208, 21607373, 21655091, 21675959, 21732357, 21757709, 21822357, 21829441, 21873635, 21900206, 21920361, 21937452, 21975339, 21978922, 21988832, 22076613, 22077140, 22105363, 22108803, 22308434, 22354777, 22387553, 22474330, 22528769, 22534624, 22537850, 22546605, 22699663, 22719067, 22772468, 23001723, 23121125, 23128233, 23135283, 23209736, 23301044, 23331079, 23396363, 23400877, 23418787, 23494858, 23508102, 23549086, 23562910, 23578467, 23593403, 23595228, 23602568, 23602572, 23614275, 23625009, 23625206, 23660496, 23661758, 23667255, 23744317, 23760290, 23844083, 23919306, 24029232, 24073601, 24184327, 24187576, 24220339, 24225433, 24244375, 24322891, 24378831, 24386331, 24479681, 24551192, 24630741, 24658403, 24886961, 24909488, 24952347, 24987920, 25016017, 25064159, 25077945, 25157104, 25241761, 25384976, 25416956, 25544773, 25588078, 25592718, 25609649, 25647783, 25670814, 25706621, 25903346, 26018080, 26018137, 26112171, 26173738, 26186194, 26209639, 26264872, 26303532, 26381409, 26387545, 26493679, 26496610, 26514923, 26631725, 26725323, 26858249, 26860974, 26917263, 26988982, 27102414, 27107012, 27107014, 27474128, 27513856, 27517874, 27558649, 27602752, 27637333, 27965308, 28358415, 28473536, 28514442, 28566324, 28637007, 28665975, 28728983, 28910941, 29066822, 29130097, 29331016, 29582647, 29858576, 29892012, 29993138, 29997244, 30021895, 30066839, 30085406, 30124866, 30257388, 30315111, 30353072, 30361264, 30476653, 30515991, 30586711, 30656892, 30670568, 30767554, 30804502, 30879166, 30893847, 30898623, 31018569, 31182485, 31261535, 31338937, 31444232, 31467278, 31490237, 31515488, 31573330, 31694235, 31805275, 32042069, 32097665, 32281291, 32289284, 32296036, 32296183, 32360331, 32482537, 32487998, 32513696, 32542935, 32572902, 32767928, 32814053, 33188281, 33211090, 33297334, 33308098, 33318581, 33393145, 33604677, 33653978, 33852840, 33961781, 34171102, 34315853, 34610301, 34671206, 34763165, 34942351, 35140242, 35143939, 35503086, 35537818, 35568340, 35579162, 35580072, 35621221, 36008878, 36099089, 36197962, 36291102, 36454517, 36629882, 37344157, 37353480, 37460318, 37481710, 37553246, 37564212, 37581569, 37616343, 37909980, 37965313, 38063270"
ENSG00000215595	400831	C20orf202	23	NotFound	-1.031460283	NotFound	NotFound	no	-	0	3	-	"12477932, 14702039, 32296183"
ENSG00000169129	84632	AFAP1L2	-24	-0.246116431	NotFound	NotFound	NotFound	no	-	0	47	-	"10737800, 11572484, 12477932, 14702039, 15146197, 15164054, 15489334, 15951569, 16344560, 16385451, 16713569, 17412687, 18029348, 20125193, 20201926, 21044950, 21224076, 21832049, 21873635, 22190283, 22805860, 22927913, 22928011, 23527086, 24387290, 24581082, 25892537, 25980441, 26045762, 26191231, 26446840, 27509056, 27835612, 28849225, 29676528, 30639242, 31219645, 31741433, 32159887, 32393512, 34780466, 35337019, 35831314, 36284062, 36543142, 37729738, 38117590"
ENSG00000125703	84938	ATG4C	27	0.281519353	0.587790435	NotFound	NotFound	no	-	0	30	-	"8889548, 12477932, 14702039, 15489334, 16344560, 18029348, 18193044, 20562859, 20966902, 21177865, 22248718, 25378659, 25490467, 26186194, 27742532, 28287329, 28423511, 28514442, 29458288, 29778605, 30661429, 31291988, 32401768, 32814053, 33773106, 33961781, 34079125, 34597346, 34619495, 34699312"
ENSG00000170509	345275	HSD17B13	23	NotFound	-1.16219968	NotFound	NotFound	no	-	0	48	-	"12477932, 12975309, 15221005, 15489334, 17311113, 19027726, 21873635, 22001757, 22139419, 22344438, 23568457, 25028495, 26186194, 26598620, 26940866, 28514442, 29562163, 29748147, 30323112, 30403944, 30415504, 30908678, 31155741, 31630428, 31789772, 31965669, 31967400, 32190914, 32296183, 32443539, 32461654, 32487729, 32964989, 33024398, 33618508, 33853719, 33961781, 34076851, 34506332, 34930143, 35098490, 35411667, 36233142, 36402372, 36555467, 36610497, 37470344, 37620305"
ENSG00000115041	30818	KCNIP3	32	NotFound	NotFound	NotFound	twas	yes	OpenTargets	1	81	31701892	"9771752, 9819380, 10078534, 10676964, 10854253, 10900016, 11072133, 11094064, 11259376, 11278424, 11535596, 11792319, 11988022, 12006572, 12198160, 12207970, 12217801, 12451113, 12477932, 12648752, 12829703, 12837631, 14702039, 14720210, 15086516, 15184042, 15489334, 15770150, 15815621, 16112838, 16177826, 16189514, 16306395, 16787403, 16840549, 17102134, 17189291, 17962406, 18187620, 18269347, 18393943, 18507845, 18628663, 18664571, 18957440, 19299442, 19730683, 20211142, 21070824, 21216226, 21813705, 21852538, 21873635, 22730276, 23019329, 23187802, 23300953, 23692269, 23786773, 25416956, 26319784, 26384566, 27107014, 27280975, 28572607, 28611215, 28627884, 28799433, 28806394, 30021884, 30272559, 30451831, 30833638, 32296183, 32641494, 32814053, 33626321, 34751735, 35066335, 37298129, 37978395"
ENSG00000197705	57565	KLHL14	-36	NotFound	-1.664802295	NotFound	NotFound	no	-	0	14	-	"10718198, 12477932, 19535332, 20379614, 21873635, 22939624, 23569223, 23676014, 25189415, 26186194, 28514442, 32127472, 32393512, 33961781"
ENSG00000244491			-33	1.006681121	NotFound	NotFound	NotFound	no	-	0	0	-	
ENSG00000204241	100128239	LINC02731	27	-0.663260955	NotFound	NotFound	NotFound	no	-	0	1	-	14702039
ENSG00000170537	79905	TMC7	25	0.627319376	NotFound	NotFound	NotFound	no	-	0	13	-	"12477932, 12812529, 12906855, 14702039, 16344560, 21873635, 22566498, 28514442, 30021884, 32393512, 33961781, 35256949, 36713450"
ENSG00000087116	9509	ADAMTS2	38	NotFound	-1.737782671	NotFound	NotFound	no	-	0	39	-	"7735500, 10094461, 10417273, 10464288, 11076863, 11167130, 11741898, 11788898, 12477932, 14730609, 15146197, 15373769, 16046392, 16344560, 18624398, 18937294, 20574651, 21873635, 22205175, 22589738, 22990015, 23867815, 24752352, 25674217, 25863161, 26186194, 26232334, 26765342, 28514442, 30021884, 30388611, 31740729, 31804359, 32817637, 33961781, 35013218, 36124393, 36602125, 37929635"
